index,num_chars,num_words,num_special_chars,num_ticks,num_dashes,num_commas,num_pipes,num_equals,num_keywords,num_parens,avg_word_len,label
3250,107,12,31,0,0,2,0,1,2,6,8.0,1
3252,25,5,5,0,0,0,0,0,0,0,4.2,0
3253,19,3,7,0,2,0,0,1,1,1,5.666666666666667,1
3254,19,3,10,1,0,0,0,0,1,5,5.666666666666667,1
3257,26,3,7,0,0,1,0,1,1,2,8.0,1
3259,34,5,17,4,1,0,0,2,2,4,6.0,1
3266,53,1,20,2,0,1,0,0,0,6,53.0,1
3273,117,10,39,0,0,4,0,2,3,16,10.8,1
3274,67,3,17,2,2,1,0,0,0,8,21.666666666666668,1
3279,67,6,17,0,0,1,0,1,2,8,10.333333333333334,1
3283,51,2,15,2,0,0,0,1,0,2,25.0,1
3288,20,4,5,0,1,1,0,0,0,0,4.25,0
3290,174,22,42,4,0,6,0,2,3,8,6.954545454545454,1
3291,40,5,13,0,0,0,0,2,2,2,7.2,1
3292,97,5,32,0,0,1,6,2,2,14,18.6,1
3294,53,3,25,4,0,0,0,0,0,6,17.0,1
3295,158,11,38,0,0,6,0,1,2,19,13.454545454545455,1
3296,20,2,7,1,0,0,0,0,0,2,9.5,1
3297,32,5,6,0,0,1,0,0,0,0,5.6,0
3299,23,3,9,1,1,0,0,1,1,3,7.0,1
3305,113,8,32,0,2,1,6,1,2,12,13.25,1
3311,72,5,18,0,1,8,0,0,2,3,13.6,1
3313,23,3,7,0,0,0,0,1,1,2,7.0,1
3315,45,5,11,0,3,3,0,0,2,1,8.2,1
3317,173,12,40,1,0,5,0,1,2,19,13.5,1
3319,56,9,14,0,2,1,0,1,3,2,5.333333333333333,1
3321,48,8,12,1,2,1,0,0,2,1,5.125,1
3322,117,14,31,6,0,1,0,0,2,4,7.428571428571429,1
3323,226,15,72,1,3,0,20,3,3,30,14.133333333333333,1
3324,35,5,10,0,2,0,0,2,2,1,6.2,1
3327,16,3,4,1,0,0,0,1,1,0,4.666666666666667,1
3330,31,5,9,1,0,0,0,1,2,2,5.4,1
3331,120,8,29,1,2,6,0,2,2,11,14.125,1
3333,135,18,35,0,2,3,0,2,3,6,6.555555555555555,1
3335,77,13,19,0,2,0,0,2,1,1,5.0,1
3337,37,4,9,0,0,0,0,0,0,2,8.5,1
3338,223,15,71,0,3,0,20,3,3,29,13.933333333333334,1
3341,58,7,22,4,0,1,0,1,3,10,7.428571428571429,1
3342,59,6,19,0,2,0,0,1,2,9,9.0,1
3344,45,6,15,0,2,0,0,1,2,7,6.666666666666667,1
