index,num_chars,num_words,num_special_chars,num_ticks,num_dashes,num_commas,num_pipes,num_equals,num_keywords,num_parens,avg_word_len,label
363,106,3,29,0,0,3,6,1,1,16,34.666666666666664,1
364,253,18,90,4,0,0,26,3,4,40,13.11111111111111,1
366,157,20,36,0,2,6,0,1,2,5,6.9,1
367,25,4,5,0,0,2,0,0,0,0,5.5,0
368,114,8,27,4,0,5,0,1,3,10,13.375,1
369,21,4,5,0,0,1,0,0,0,0,4.5,0
370,41,1,3,0,0,0,0,0,0,0,41.0,0
371,39,1,4,0,1,0,0,0,0,0,39.0,0
372,64,6,18,0,2,1,0,1,2,8,9.833333333333334,1
374,63,8,18,0,0,0,0,1,2,8,7.0,1
378,82,8,25,4,0,1,0,2,3,10,9.375,1
380,103,7,30,1,2,1,6,2,2,11,13.857142857142858,1
381,43,5,13,1,3,2,0,0,2,3,7.8,1
385,86,10,22,3,2,0,2,2,2,3,7.7,1
391,63,3,19,2,0,0,0,2,0,2,20.333333333333332,1
392,94,14,24,3,2,0,2,2,2,1,5.785714285714286,1
393,81,9,26,4,0,0,0,1,2,10,8.11111111111111,1
395,103,12,23,0,0,2,0,1,2,5,7.666666666666667,1
396,23,4,4,0,0,0,0,0,0,0,5.0,0
398,22,2,9,1,0,0,0,0,0,5,10.5,1
399,171,22,37,0,2,6,0,2,3,5,6.818181818181818,1
405,84,5,26,2,0,1,0,2,2,12,16.0,1
406,172,22,38,1,2,6,0,2,3,5,6.863636363636363,1
408,97,16,27,0,0,0,0,1,2,10,5.125,1
409,19,3,7,0,0,0,0,1,1,2,5.666666666666667,1
410,20,3,2,0,0,0,0,0,0,0,6.0,0
413,82,9,20,1,2,6,0,1,3,2,8.222222222222221,1
414,85,4,20,0,0,3,0,1,1,12,20.5,1
415,21,4,3,0,0,0,0,0,0,0,4.5,0
419,27,5,6,0,0,2,0,0,0,0,4.6,0
420,152,5,48,4,0,4,10,2,2,22,29.6,1
421,30,1,3,0,0,0,0,0,0,0,30.0,0
425,216,16,53,0,2,3,6,2,2,23,12.5625,1
426,64,6,26,4,0,0,0,1,2,14,9.833333333333334,1
431,125,20,35,1,2,0,0,2,3,9,5.3,1
433,23,1,2,0,0,0,0,0,0,0,23.0,0
434,110,14,30,1,2,3,0,1,2,4,6.928571428571429,1
435,27,3,8,0,0,0,0,1,0,2,8.333333333333334,1
436,16,1,3,0,0,0,0,0,0,0,16.0,0
437,114,7,26,0,0,4,0,0,2,12,15.428571428571429,1
439,122,14,36,6,2,1,0,0,2,7,7.785714285714286,1
445,51,5,16,4,0,0,0,1,1,4,9.4,1
448,33,1,2,0,0,0,0,0,0,0,33.0,0
449,22,1,7,0,0,3,0,1,0,2,22.0,1
451,32,5,7,0,0,0,0,2,2,1,5.6,1
453,59,5,16,0,2,6,0,0,2,2,11.0,1
454,77,8,19,0,2,1,0,2,3,6,8.75,1
456,71,1,24,1,2,2,0,0,0,4,71.0,1
458,216,16,73,1,0,1,20,2,2,31,12.5625,1
461,22,1,3,0,1,0,0,0,0,0,22.0,0
463,20,4,6,0,0,1,0,0,0,0,4.25,0
465,13,1,1,0,0,0,0,0,0,0,13.0,0
466,116,13,35,4,0,4,0,2,3,10,8.0,1
468,35,5,8,0,1,0,0,2,2,1,6.2,1
469,172,6,48,1,2,4,10,2,2,23,27.833333333333332,1
470,27,5,8,0,1,2,0,0,0,0,4.6,0
471,220,16,66,0,0,1,0,2,3,34,12.8125,1
472,76,5,18,1,3,9,0,0,2,0,14.4,1
