index,num_chars,num_words,num_special_chars,num_ticks,num_dashes,num_commas,num_pipes,num_equals,num_keywords,num_parens,avg_word_len,label
2268,62,8,19,1,0,0,0,1,3,8,6.875,1
2273,73,5,18,1,2,9,0,0,2,2,13.8,1
2276,33,5,8,0,0,2,0,0,0,0,5.8,0
2277,48,5,16,0,1,1,0,2,2,4,8.8,1
2278,17,4,7,0,0,0,0,0,0,0,3.5,1
2279,122,6,26,1,0,4,0,1,1,13,19.5,1
2280,108,12,31,4,0,2,0,1,2,8,8.083333333333334,1
2286,68,10,22,0,2,0,0,1,0,8,5.9,1
2287,60,5,14,0,3,6,0,0,2,1,11.2,1
2291,111,13,31,4,0,4,0,2,3,6,7.615384615384615,1
2295,32,5,10,0,3,0,0,0,2,3,5.6,1
2302,178,16,44,4,0,5,4,2,2,14,10.1875,1
2303,23,1,8,0,0,2,0,1,0,3,23.0,1
2304,218,15,70,0,0,0,20,3,3,32,13.6,1
2307,36,3,12,0,2,0,0,0,0,4,11.333333333333334,1
2308,48,2,12,0,0,1,0,0,0,6,23.5,1
2309,46,5,11,0,2,4,0,0,2,1,8.4,1
2312,186,13,59,0,1,0,0,1,1,35,13.384615384615385,1
2313,36,5,15,4,0,0,0,1,2,6,6.4,1
2314,29,1,3,0,0,0,0,0,0,0,29.0,0
2320,67,5,19,4,0,1,0,2,2,8,12.6,1
2325,55,5,12,0,0,6,0,0,2,0,10.2,1
2327,28,5,7,0,1,1,0,0,0,0,4.8,0
2330,70,5,16,0,3,8,0,0,2,0,13.2,1
2331,18,3,9,0,0,0,0,0,1,5,5.333333333333333,1
2340,123,14,37,6,2,1,0,0,2,7,7.857142857142857,1
2343,29,5,10,0,2,0,0,0,2,3,5.0,1
2344,36,5,9,0,1,0,0,2,2,1,6.4,1
2346,31,3,11,0,0,1,0,1,1,5,9.666666666666666,1
2350,122,10,35,0,0,4,0,2,3,14,11.3,1
2352,25,4,5,0,1,1,0,0,0,0,5.5,0
2363,78,9,25,3,0,0,2,1,3,9,7.777777777777778,1
2364,36,3,12,1,2,0,0,0,0,4,11.333333333333334,1
2365,46,3,10,0,0,1,0,1,1,4,14.666666666666666,1
2367,11,3,3,0,0,1,0,0,0,0,3.0,0
2369,18,4,6,0,0,1,0,0,0,0,3.75,0
2371,250,18,93,0,1,0,26,3,4,40,12.944444444444445,1
2372,52,5,14,0,1,4,0,0,2,3,9.6,1
2374,29,1,25,0,0,0,0,0,0,0,29.0,1
2379,39,5,5,0,0,1,0,0,0,0,7.0,0
2383,106,3,17,0,1,1,0,3,0,0,34.666666666666664,1
2384,36,5,10,1,3,1,0,0,2,0,6.4,1
2385,24,6,11,0,1,0,0,0,0,0,3.1666666666666665,1
2387,221,22,55,0,2,6,0,2,9,20,9.090909090909092,1
